Name,Type of GoN Body,Website,"3 Star Scheme Rating
",Doc,PDF,Excel,CSV,Does spreadsheet follow tabular data standards?,,
Office of the Prime Minister and Council of Ministers,Other,https://www.opmcm.gov.np/en/,1,Y,Y,N,N,NA,,
Ministry of Defense,Ministry,http://www.mod.gov.np/en,1,Y,Y,N,N,NA,,
Ministry of Health and Population,Ministry,http://www.mohp.gov.np/en/,1,Y,Y,N,N,NA,,
Ministry of Home Affairs,Ministry,http://moha.gov.np/,1,N,Y,N,N,NA,,
Ministry of Foreign Affairs,Ministry,https://mofa.gov.np/,1,N,Y,N,N,NA,,
"Ministry of Energy, Water, Resource and Irrigation",Ministry,http://moewri.gov.np/en/,1,N,Y,N,N,NA,,
"Ministry of Education, Science and Technology",Ministry,http://moe.gov.np/,1,N,Y,N,N,NA,,
"Ministry of Industry, Commerce and Supplies",Ministry,https://moics.gov.np/,2,Y,Y,Y,N,N,,
Ministry of Physical Infrastructure and Transportation,Ministry,http://www.mopit.gov.np/,1,Y,Y,N,N,NA,,
Ministry of Labor Employment and Social Protection,Ministry,https://moless.gov.np/,1,N,Y,N,N,NA,,
Ministry of Forest and Environment,Ministry,http://www.mofe.gov.np/,1,N,Y,N,N,NA,,
Ministry of Federal Affairs and General Administration,Ministry,http://mofaga.gov.np/,0,N,N,N,N,NA,,
"Ministry of Women, Children and Senior Citizen",Ministry,https://mowcsc.gov.np/,1,Y,Y,N,N,NA,,
Ministry of Finance,Ministry,https://mof.gov.np/en/,1,N,Y,N,N,NA,,
Ministry of Youth and Sports,Ministry,http://moys.gov.np/,1,N,Y,N,N,NA,,
"Ministry of Culture, Tourism and Civil Aviation",Ministry,http://www.tourism.gov.np/,2,Y,Y,Y,N,N,,
"Ministry Law, Justice and Parliamentary Affairs",Ministry,http://www.moljpa.gov.np/,1,N,Y,N,N,NA,,
Ministry of Agricultural and Livestock Development,Ministry,https://www.moald.gov.np/,2,N,Y,Y,N,N,,
Ministry of Water Supply,Ministry,http://mowss.gov.np/,1,N,Y,N,N,NA,,
Ministry of Urban Development,Ministry,http://moud.gov.np/np,1,N,Y,N,N,NA,,
Ministry of Communication and Information Technology,Ministry,https://mocit.gov.np/,1,N,Y,N,N,NA,,
"Ministry of Land Management, Cooperatives and Poverty Alleviation",Ministry,http://molcpa.gov.np/,1,N,Y,N,N,NA,,
Department of Transport Management,Department,https://www.dotm.gov.np/?utm_source=techsansar,1,N,Y,N,N,NA,,
Inland Revenue Department,Department,https://ird.gov.np/,1,N,Y,N,N,NA,,
Department of Custom,Department,https://www.customs.gov.np/en/,2,Y,Y,Y,N,N,,
Department of Industry,Department,http://www.doind.gov.np/,1,N,Y,N,N,NA,,
Department of Immigration,Department,http://www.nepalimmigration.gov.np/,1,N,Y,N,N,NA,,
Department of Revenue Investigation,Department,http://dri.gov.np/index.php,1,N,Y,N,N,NA,,
Department of Mines and Geology,Department,https://www.dmgnepal.gov.np/,1,N,Y,N,N,NA,,
