Timestamp,What is your industry?,To what extent do you believe startups in Nepal use data in everyday operations?,To what extent do you believe startups in Nepal should use data in everyday operations?,Do you use the Government of Nepal's data?,Would you like to use more of the Government of Nepal's data in your startup?,Select the barriers for startups to use data?,Company name (not required)
12/2/2019 14:29:03,"Software, Finance, Data Analytics",Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of government data",DataMoon Pvt Ltd
12/2/2019 16:42:57,Engineering ,Minorly,Extensively,No,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of government data",E-rickshaw
12/2/2019 16:48:00,Service ,Moderately,Extensively,No,"Yes, if it is available",Data is not in easy to use format,Orange Ball Pvt Ltd 
12/2/2019 17:49:51,Machines,Moderately,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of government data",
12/2/2019 17:52:31,"Software, Data Analytics, Engineering",Minorly,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Lack of government data, Lack of internal data",Airlift technology
12/3/2019 12:04:29,Agriculture,Would like to,Extensively,Sometimes,"Yes, if it is available",Do not know where to acquire data,
12/3/2019 12:29:26,Agriculture,Moderately,Minorly,Sometimes,"Yes, if it is available","High cost of data, Do not know where to acquire data",
12/3/2019 12:44:50,Software,Minorly,Extensively,Sometimes,"Yes, if it is available","Lack of internal data skills, Lack of government data, Lack of internal data",8byte Creative Studio
12/3/2019 13:48:31,Hospitality ,Would like to,Extensively,Sometimes,"Yes, if it is available","High cost of data, Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills, Lack of government data, Lack of internal data",
12/3/2019 14:27:04,Sustainable Packaging,Moderately,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Lack of government data",Ecoorb Initiatives
12/4/2019 12:32:46,Finance,Extensively,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills, Lack of government data, Lack of internal data",Khalti Digital Wallet
12/4/2019 12:36:44,Agriculture,Minorly,Extensively,Yes,"Yes, if it is available",Do not know where to acquire data,Alpha Agro Farm
12/4/2019 12:48:05,Apparel,Minorly,Extensively,No,"Yes, if it is available",Do not know where to acquire data,
12/4/2019 13:25:35,Agriculture,Minorly,Extensively,Sometimes,"Yes, if it is available",Do not know where to acquire data,Abhiyan Agro 
12/4/2019 13:35:56,Marketing,Minorly,Extensively,Yes,"Yes, if it is available",High cost of data,
12/4/2019 13:39:54,E commerc,Moderately,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills, Lack of government data, Lack of internal data",
12/4/2019 13:57:40,Health,Minorly,Would like to,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of internal data skills",
12/4/2019 14:18:17,Software,Minorly,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format",
12/4/2019 14:33:37,Agriculture,Moderately,Moderately,No,"Yes, if it is available","High cost of data, Lack of government data, Lack of internal data",abc
12/4/2019 14:41:52,Service,Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of internal data skills, Lack of government data",HerChaha
12/4/2019 15:02:50,Software,Would like to,Extensively,Sometimes,"Yes, if it is available","Lack of government data, Lack of internal data",
12/4/2019 15:08:15,Education,Moderately,Extensively,No,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of government data",
12/4/2019 15:08:41,"Software, Data Analytics",Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of government data",
12/4/2019 15:13:29,Tourism,Moderately,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Lack of government data, Lack of internal data",dulwa.com
12/4/2019 15:15:44,Software,Minorly,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of government data",NAXA
12/4/2019 15:18:17,"architecture, engineering, construction",Minorly,Moderately,Yes,"Yes, if it is available",Data is not in easy to use format,
12/4/2019 15:21:01,Software,Minorly,Minorly,No,No,"High cost of data, Do not know where to acquire data",D. Cube I.T. Solution Pvt. Ltd.
12/4/2019 15:21:16,FinTech,Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of internal data skills, Lack of government data",
12/4/2019 15:23:00,Human Resource,Extensively,Extensively,No,"Yes, if it is available","High cost of data, Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills, Lack of government data, Lack of internal data",
12/4/2019 15:24:28,"Software, Data Analytics, Digital Media ",Moderately,Extensively,Yes,"Yes, if it is available",Lack of internal data skills,Drishyam Digital Media 
12/4/2019 15:45:46,Travel,Minorly,Moderately,No,"Yes, if it is available",High cost of data,ThrillMyTrip
12/4/2019 15:46:36,Engineering - Mechanical,Moderately,Extensively,Yes,"Yes, if it is available",Lack of government data,
12/4/2019 15:49:46,Software,Extensively,Extensively,Yes,"Yes, if it is available",High cost of data,
12/4/2019 15:50:06,Software,Extensively,Extensively,Yes,"Yes, if it is available",check,
12/4/2019 15:55:35,Software,Extensively,Extensively,No,"Yes, if it is available","High cost of data, Do not know where to acquire data, Lack of government data",Nepal Cloud
12/4/2019 15:59:23,Education,Minorly,Extensively,No,"Yes, if it is available","High cost of data, Do not know where to acquire data, Lack of government data",
12/4/2019 16:05:02,Software,Extensively,Extensively,No,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of government data",
12/4/2019 16:33:52,Entertainment/News,Never,Never,No,No,don't want to because I'm a prostitute and my business is sexy times 😘,daddy fun times inc
12/4/2019 16:56:37,Marketing,Moderately,Extensively,Sometimes,"Yes, if it is available","High cost of data, Do not know where to acquire data, Lack of government data",Mikha consulting
12/4/2019 17:15:42,Media,Moderately,Extensively,No,"Yes, if it is available",Do not know where to acquire data,
12/4/2019 17:26:36,Biotechnology,Minorly,Extensively,Yes,"Yes, if it is available",The data are not reliable and incomplete,Rara biotech Pvt. Ltd
12/4/2019 17:49:15,Engineering ,Moderately,Moderately,Yes,"Yes, if it is available","Do not know where to acquire data, Lack of government data",Aakar engineer and architect 
12/4/2019 18:09:59,E-commerce,Moderately,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of government data",DharmaSewa.com
12/4/2019 18:18:14,Manufactruring,Moderately,Extensively,Yes,"Yes, if it is available",Lack of government data,
12/4/2019 18:18:18,Finance,Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of internal data skills",
12/4/2019 18:21:01,Marketing,Moderately,Extensively,Sometimes,"Yes, if it is available",Do not know where to acquire data,
12/4/2019 18:32:32,Software,Moderately,Extensively,Yes,"Yes, if it is available",Data is not in easy to use format,
12/4/2019 18:33:13,Data Analytics,Would like to,Extensively,No,"Yes, if it is available","High cost of data, Lack of internal data skills, Lack of government data, Lack of internal data",Rosebay Group
12/4/2019 18:35:27,Finance,Minorly,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills, Lack of government data, Lack of internal data",government data are vauge and incomplete
12/4/2019 19:09:19,Entertainment/News,Extensively,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format",
12/4/2019 19:12:13,"Marketing, Data Analytics, Education",Moderately,Moderately,No,"Yes, if it is available",Lack of internal data,Kathmandu Auction
12/4/2019 19:17:38,Software,Minorly,Extensively,No,"Yes, if it is available","High cost of data, Do not know where to acquire data, Data is not in easy to use format, Lack of government data, Lack of internal data",
12/4/2019 19:25:46,Publications and communications,Moderately,Extensively,Sometimes,"Yes, if it is available","Data is not in easy to use format, Lack of government data, Data is not current (ie. less than two years old, see census data) ",Mera Publications Pvt Ltd
12/4/2019 20:15:52,Digital information centre,Minorly,Minorly,Yes,"Yes, if it is available","Data is not in easy to use format, Lack of government data",Nepal info
12/4/2019 21:23:28,Education,Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of internal data skills, Lack of government data, Lack of internal data",
12/4/2019 21:26:39,Software,Minorly,Extensively,No,"Yes, if it is available","Do not know where to acquire data, Lack of government data",
12/4/2019 21:35:12,Marketing,Moderately,Moderately,Yes,"Yes, if it is available",Lack of internal data,
12/4/2019 21:59:17,Cybersecurity,Extensively,Extensively,Yes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills",
12/4/2019 22:03:19,Skincare manufacturing,Would like to,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of government data",
12/4/2019 22:53:36,Meat delivery ,Moderately,Extensively,Sometimes,"Yes, if it is available",High cost of data,It’s too difficult to start company in Nepal for middle class family .. I have vision idea but financially I m weak .. if I get loan from any organization then only I can make it possible 
12/4/2019 23:14:49,Software,Moderately,Moderately,Sometimes,"Yes, if it is available","High cost of data, Do not know where to acquire data, Data is not in easy to use format, Lack of government data",
12/4/2019 23:22:27,Logistics,Minorly,Extensively,Yes,"Yes, if it is available",Lack of government data,NepXpress
12/5/2019 0:08:20,Software,Moderately,Extensively,Yes,"Yes, if it is available",Data is not in easy to use format,Urbans Nepal 
12/5/2019 0:29:28,"Software, Data Analytics, Education",Extensively,Moderately,Sometimes,"Yes, if it is available",High cost of data,AI-Interf
12/5/2019 1:50:09,Software,Extensively,Extensively,Yes,"Yes, if it is available",High cost of data,
12/5/2019 4:15:55,"Software, Finance, Marketing, Data Analytics, Entertainment/News, Health, Agriculture, Education",Minorly,Moderately,Sometimes,"Yes, if it is available","High cost of data, Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills, Lack of government data, Lack of internal data",Growth maker
12/5/2019 4:52:05,Consulting ,Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of internal data skills, Lack of government data, Lack of culture for documentation and data driven decision making process",Biruwa Advisors Pvt Ltd
12/5/2019 6:17:02,Software,Minorly,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Lack of government data, Lack of internal data",
12/5/2019 7:22:26,Food service ,Would like to,Extensively,Sometimes,"Yes, if it is available","Do not know where to acquire data, Data is not in easy to use format, Lack of internal data skills, Lack of government data",Pack My Lunch 
