"","name","funding_looking_for","product_status","description","tags","funding_type","funding_received","funding_expected","team_size","address","email","website"
"1","101Monkey.com ","Other Opportunities","Public Beta","Who wants to trudge down the high street when you can do it all from home?
“Small things come in great packages.”
At 101Monkey, our idea is to sell small things at greater deals, with fantastic prices and featured brands being utmost customer eccentric. With 101Monkey, you sense a trusted and seamless online shopping experience to buy varieties of apparels. A completely hassle free convenient payment options such as cash on delivery, e-sewa is done on 101Monkey so that you can enjoy each and every moment of joy of online shopping.
Our journey from Ourstore to 101monkey till now has touched so many lives, overwhelming clients to inconsequential chattering clients. Our virtual when it comes to shopping, why go beyond 101monkey…… It’s everything you wanted, it’s everything you don’t after all…. it’s more than just shopping. And yes! Our virtual shopping occurrence seems as glorious as shopping in-store. No one does combo offers, exciting campaigns, amazing web contests, online exclusives, pre-sales, pre-promotions better, but us.","
                                                    Online Shopping
                                            ","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Dillibazar","info@101monkey.com","http://101Monkey.com/"
"2","101Sewa","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Dillibazar,Kathmandu","info101sewa@gmail.com","character(0)"
"3","11 Beep","Other Opportunities","Project","c("""", ""11Beep is mobile social network which doesn't keep your digital history. Set time when to delete the post, be anonymous, while being naughty, beep to selected friends or to public, no noise of advertisements."")","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Lalitpur, Nepal","hello@11beep.com","http://11beep.com/"
"4","49 hrs Studio","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","4th Floor, Office Complex, Orange Color Building, Kupondole, Lalitpur","49hourstudio@gmail.com","www.49hrstudio.wordpress.com/"
"5","Access World","Other Opportunities","Project","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Bhatbhateni,Krishna Galli, pulchowk, Lalitpur, Nepal","info@accessworld.net","www.accessworld.net/"
"6","Accs Swift","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10"," Jwagal, Lalitpur, Nepal","info@bentraytech.com","www.accswift.com"
"7","AccSwift - Truly Nepali Accounting Software","Funding","Project","character(0)","character(0)","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Jwagal","shamit@bentraytech.com","character(0)"
"8","ACT360","Other Opportunities","Others","ACT360 is a management / marketing company set up by 3 friends: Amod, Cheteze, and Tenzing. The three of us come from various backgrounds but share an education – we studied together at Ace Institute of Management’s MBA (Master of Business Administration) program.

We chose the name “ACT360” because “act” means “to take action” which is in line with our philosophy of being proactive rather than reactive. The “360” refers to us offering a variety of services, which lets us offer a complete solution to your needs.

ACT is also the first letter of all 3 of our names, which is a happy coincidence :p

We offer a variety of services to our clients ranging from branding strategies, social media management, digital advertising to product photography and website design.","character(0)","Funding Type                                :  ","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","Adrishya Building, Lal Durbar, Hattisar, Kathmandu, Nepal ","info@act360.com.np","http://act360.com.np/"
"9","Adhuro.com- parewa labs pvt. Ltd","Other Opportunities","Others","character(0)","character(0)","Funding Type                                :  Others","Total Funding Received                                :  None","Total Funding Expected                                :  0 - 1million","Team Size: 1-10","Lalitpur, Nepal"," ","www.adhuro.com"
"10","admandu.com","Other Opportunities","Launched","Admandu.com is one of the fastest growing horizontal classified website of Nepal. The website is launched with the vision to provide a platform for Nepalese people sell /buy or advertise their products, services within the local market of Kathmandu valley and other major cities of Nepal.
We are continuously working very hard to develop simple, secure & trusted online community that covers almost all categories.

We allow users to post free ad(s) on our website that will allow consumers from the Kathmandu valley including other major cities to see the products/services offered by the company or individual.

Happy Deals
admandu","
                                                    online classified
                                                    free ads
                                                    buy sell used or new products
                                                    sell buy car
                                                    bike
                                                    laptops
                                                    mobile
                                                    real estate
                                                    matrimonial
                                                    furnitures
                                                    services
                                            ","Funding Type                                :  Bootstrap","Total Funding Received                                :  None","Total Funding Expected                                :  None","Team Size: 1-10","bijulibazaar,Kathmandu","myadmandu@gmail.com","character(0)"
